Date/Time,Word Count,en,ru
2020.11.08-22.27.26,76,76,0
2020.11.08-23.51.00,76,76,61
2020.11.09-00.31.56,76,76,67
2020.11.09-01.26.33,77,77,60
2020.11.09-01.28.55,77,77,65
2020.11.15-22.31.59,91,91,65
2020.11.15-22.46.43,91,91,78
2020.11.16-00.58.55,113,113,78
2020.11.16-01.00.01,102,102,78
2020.11.16-01.06.10,102,102,89
2020.11.16-01.58.43,113,113,89
2020.11.16-02.02.12,113,113,100
2020.11.16-02.11.17,113,113,103
2020.11.16-02.17.53,113,113,100
2020.11.16-02.20.33,113,113,103
2020.11.26-01.04.04,108,108,87
2020.11.26-01.13.47,108,108,96
2021.01.26-00.19.43,218,218,84
2021.01.26-00.45.05,218,218,193
2021.01.26-01.02.00,218,218,191
2021.01.26-01.03.52,218,218,193
2021.01.26-01.41.21,217,217,187
2021.01.26-01.49.23,216,216,187
2021.01.26-01.51.05,216,216,191
2021.01.26-01.58.53,216,216,187
2021.01.26-02.08.14,216,216,191
2023.01.01-18.25.28,217,217,189
2023.01.01-19.21.53,217,217,192
2023.01.01-19.31.04,216,216,189
2023.01.01-19.32.12,216,216,191
2023.01.19-02.27.37,355,355,180
2023.01.19-02.33.08,355,355,192
2023.01.24-01.14.58,355,355,183
2023.01.24-01.18.08,355,355,192
